SERVICE_NAME,URL
flask-railway,https://flask-railway.matejbasic.com/benchmark
flask-render,https://flask-render.matejbasic.com/benchmark
flask-fly,https://flask-fly.matejbasic.com/benchmark
flask-azure,https://flask-azure.matejbasic.com/benchmark
flask-function,https://flask-function.matejbasic.com/benchmark
flask-lambda,https://flask-lambda.matejbasic.com/benchmark
express-railway,https://express-railway.matejbasic.com/benchmark
express-render,https://express-render.matejbasic.com/benchmark
express-fly,https://express-fly.matejbasic.com/benchmark
express-azure,https://express-azure.matejbasic.com/benchmark
express-function,https://express-function.matejbasic.com/benchmark
express-lambda,https://express-lambda.matejbasic.com/benchmark
gin-railway,https://gin-railway.matejbasic.com/benchmark
gin-render,https://gin-render.matejbasic.com/benchmark
gin-fly,https://gin-fly.matejbasic.com/benchmark
gin-azure,https://gin-azure.matejbasic.com/benchmark
gin-function,https://gin-function.matejbasic.com/benchmark
gin-lambda,https://gin-lambda.matejbasic.com/benchmark
fiber-railway,https://fiber-railway.matejbasic.com/benchmark
fiber-render,https://fiber-render.matejbasic.com/benchmark
fiber-fly,https://fiber-fly.matejbasic.com/benchmark
fiber-azure,https://fiber-azure.matejbasic.com/benchmark
fiber-function,https://fiber-function.matejbasic.com/benchmark
fiber-lambda,https://fiber-lambda.matejbasic.com/benchmark
axum-railway,https://axum-railway.matejbasic.com/benchmark
axum-render,https://axum-render.matejbasic.com/benchmark
axum-fly,https://axum-fly.matejbasic.com/benchmark
axum-azure,https://axum-azure.matejbasic.com/benchmark
axum-function,https://axum-function.matejbasic.com/benchmark
axum-lambda,https://axum-lambda.matejbasic.com/benchmark
jquery-vercel,https://jquery-vercel.matejbasic.com
jquery-netlify,https://jquery-netlify.matejbasic.com
jquery-render,https://jquery-render.matejbasic.com
jquery-blob,https://jquerybenchmark.z6.web.core.windows.net
jquery-s3,http://jquery-benchmark.s3-website.eu-central-1.amazonaws.com
react-vercel,https://react-vercel.matejbasic.com
react-netlify,https://react-netlify.matejbasic.com
react-render,https://react-render.matejbasic.com
react-blob,https://reactbenchmark.z6.web.core.windows.net
react-s3,http://react-benchmark.s3-website.eu-central-1.amazonaws.com
next-vercel,https://next-vercel.matejbasic.com
next-netlify,https://next-netlify.matejbasic.com
next-render,https://next-render.matejbasic.com
next-blob,https://nextbenchmark.z6.web.core.windows.net
next-s3,http://next-benchmark.s3-website.eu-central-1.amazonaws.com
angular-vercel,https://angular-vercel.matejbasic.com
angular-netlify,https://angular-netlify.matejbasic.com
angular-render,https://angular-render.matejbasic.com
angular-blob,https://angularbenchmark.z6.web.core.windows.net
angular-s3,http://angular-benchmark.s3-website.eu-central-1.amazonaws.com
vue-vercel,https://vue-vercel.matejbasic.com
vue-netlify,https://vue-netlify.matejbasic.com
vue-render,https://vue-render.matejbasic.com
vue-blob,https://vuebenchmark.z6.web.core.windows.net
vue-s3,http://vue-benchmark.s3-website.eu-central-1.amazonaws.com
svelte-vercel,https://svelte-vercel.matejbasic.com
svelte-netlify,https://svelte-netlify.matejbasic.com
svelte-render,https://svelte-render.matejbasic.com
svelte-blob,https://sveltebenchmark.z6.web.core.windows.net
svelte-s3,http://svelte-benchmark.s3-website.eu-central-1.amazonaws.com
